Date,AAPL,MSFT
2021-03-02,-0.02350285728287605,0.003977080951114558
2021-03-03,-0.01886616655283546,0.007386258894521703
2021-03-04,0.0010734888372619378,0.005936011474606059
2021-03-05,-0.0019449366216413976,-0.0007773730250432605
2021-03-08,-0.007322771941567477,0.003802937287077601
2021-03-09,-0.00014776356187134153,0.007843501629448125
2021-03-10,0.0031675502575471276,0.003242300142425701
2021-03-11,-0.0030107067154330133,0.0010325440717026285
2021-03-12,-0.001901223053742903,0.004888902073012581
2021-03-15,-0.016050965951824196,0.005989373491814625
2021-03-16,-0.004157727127576617,0.002851206077861427
2021-03-17,-0.003367277772520953,0.006501611428420691
2021-03-18,0.007482529572161237,0.00939851739038312
2021-03-19,0.004451528588018615,-0.0011934538037679094
2021-03-22,-0.006320065373748541,0.0008127675331187432
2021-03-23,-0.00640596819021755,0.0037308825452790862
2021-03-24,-0.006448768653889131,0.004686629377898257
2021-03-25,0.003138139013817063,0.015313385797840688
2021-03-26,-0.012648885180340162,-0.0024626431440866597
2021-03-29,-0.012587180137366923,-0.005804756891902205
2021-03-30,-0.018100920506118112,-0.0049647875430667045
2021-03-31,-0.01877928737929553,-0.0011964002609648717
2021-04-01,-0.013057158998989408,-0.006121878016472145
2021-04-05,-0.00666590010151701,-0.00847802445754654
2021-04-06,0.003179601934327765,-0.00249504228926467
2021-04-07,0.008926032188477446,-0.006729070063792948
2021-04-08,0.011878633033202437,0.010321902984619682
2021-04-09,0.006022686703637052,0.0015158116107469124
2021-04-12,0.032986173896727165,0.01665683412250086
2021-04-13,0.01350548844518618,0.007367641281195822
2021-04-14,0.011984455923620897,0.008115056230695875
2021-04-15,0.012977946657552034,0.006169501522554894
2021-04-16,0.012818805689102755,0.007578991381410007
2021-04-19,0.01235956652834689,0.014647906226147457
2021-04-20,0.010836477654837473,0.008158782159907507
2021-04-21,0.005926611945297474,0.001211376462332821
2021-04-22,0.007870819093508723,0.009026880829239959
2021-04-23,-0.0029819636977120117,0.010791477162819474
2021-04-26,-0.0029292494805243205,0.007933328844796882
2021-04-27,0.000986722907970317,0.001216846406217265
2021-04-28,0.002058217100258076,0.006415854345615216
2021-04-29,0.013177609352958614,0.012700971729696281
2021-04-30,-0.0015465798814912604,0.0028251596799565635
2021-05-03,0.002140160228834641,0.006437997446919889
2021-05-04,-0.002262978069936302,-0.004234825576704064
2021-05-05,-0.006428363310860157,-0.00028602475970756613
2021-05-06,-0.007065283716443771,-0.011131257158280014
2021-05-07,-0.008576371981710787,0.006785744786778269
2021-05-10,-0.012878866671942237,3.1949625990846265e-06
2021-05-11,-0.00886952669135314,-0.0018335107387837837
2021-05-12,0.00682024183742431,0.010171634999452086
2021-05-13,0.006143499841609948,0.012095776689897248
2021-05-14,0.001488441182597346,0.005037339831603146
2021-05-17,0.005295418367065181,0.007252473742214296
2021-05-18,0.005008814528087126,0.012118635553280669
2021-05-19,0.005388929378812458,0.009462680025421562
2021-05-20,0.006331755458959127,0.008353497219912187
2021-05-21,-0.01412750945644184,-0.006239948643707582
2021-05-24,-0.010931489367463893,-0.004441366406479632
2021-05-25,0.000686786129828882,0.0039367770980337086
2021-05-26,-0.006288337936493292,-0.00015115053364792724
2021-05-27,-0.0122735597801234,-0.002703213668655101
2021-05-28,0.00219170761220081,0.003971631912499737
2021-06-01,-0.008570089408628549,0.00269246013831539
2021-06-02,-0.010192909106002223,-0.002696481407363185
2021-06-03,-0.011987194509441954,-0.004485029290265712
2021-06-04,-0.011730019366791307,-0.004615202150213302
2021-06-07,-0.00843324856088537,-0.0018511477362501828
2021-06-08,0.002213197726342498,0.0018093436234943583
2021-06-09,-0.00799456321463221,0.00018624421945163993
2021-06-10,-0.00741767526373385,0.014859312654965668
2021-06-11,-0.009851846902186245,0.00801474181504076
2021-06-14,-0.006393630830898608,-0.0003618749757234032
2021-06-15,-0.0037960931490612546,0.0017512415347483603
2021-06-16,-0.004424284671836951,0.008994743738608804
2021-06-17,-0.0034287325973773996,0.007121622467536683
2021-06-18,0.022068604247458254,0.012152783421251645
2021-06-21,-0.0025505785585165095,-0.003389449671267473
2021-06-22,-0.001121592843282148,-0.004065953244128941
2021-06-23,-0.0016932018092690598,-0.0010311015973434204
2021-06-24,0.00017644944088673138,0.000638054131843199
2021-06-25,-0.0055703411106396905,0.0032491928007958313
2021-06-28,-0.004813568641777688,-0.0032880523222259097
2021-06-29,0.001345742975449897,-0.00241112327480222
2021-06-30,0.005115301620451182,0.007769460898475339
2021-07-01,0.00916124543089736,0.004234223318221217
2021-07-02,0.026202878356634884,0.0085393164667797
2021-07-06,0.02788273976719057,-0.0011072172607040224
2021-07-07,0.025705094984572484,-0.0073839445735431565
2021-07-08,0.017603025244814205,-0.0029757853093974745
2021-07-09,0.02410638452918856,-0.006831563025109937
2021-07-12,0.027279459443964756,-0.00392299476247729
2021-07-13,0.017328558647513308,0.0009302956630442359
2021-07-14,0.019790464732704724,0.0035701264650426787
2021-07-15,0.023008391041755318,0.0018788989413017652
2021-07-16,0.014817873107344141,-0.0020012982468549942
2021-07-19,0.012922168897002886,0.004924382419578777
2021-07-20,0.018305141788582217,-0.0019662303214169102
2021-07-21,0.01323374656223186,0.006669477914473157
2021-07-22,0.003634117355037821,0.0011612066758250523
2021-07-23,0.008479954152065903,-0.0037384367055154277
2021-07-26,0.011192762994541501,-0.0003313176272649243
2021-07-27,0.012264416252405218,0.006808594901569279
2021-07-28,0.02614272949068865,0.007444808351043325
2021-07-29,0.022991666212371545,-0.0006595461818116387
2021-07-30,0.026035376135571536,0.006208816830916964
2021-08-02,0.024227144658046075,0.010305175622855081
2021-08-03,0.014346793116474302,0.0030760424395043697
2021-08-04,0.004849857867304569,0.0017939997119860386
2021-08-05,0.0017312149099780055,0.0014793377990414674
2021-08-06,-0.008422770178611044,-0.007464140810740838
2021-08-09,0.005254917534417229,0.0022650290525180676
2021-08-10,0.003669816631468303,0.007230016954384913
2021-08-11,-0.004242927639981608,-0.005019619207419037
2021-08-12,0.009014452225863567,-0.0011240704079854063
2021-08-13,-0.004352541049890898,-0.006456972079774658
2021-08-16,-0.0012234536083623633,-0.004846453817726237
2021-08-17,-0.005941772044575778,-0.003638038746156498
2021-08-18,0.012160526685505987,-0.00035006655114066566
2021-08-19,0.004605001178911983,0.01314853175431876
2021-08-20,0.015948564125084008,0.006126750700965692
2021-08-23,0.014126597470862586,0.006367403233644792
2021-08-24,0.014949701681526787,0.01007481787784708
2021-08-25,0.018116667494828216,0.008667272806428683
2021-08-26,0.019337644362782097,0.008058696975345194
2021-08-27,0.02206244465397024,0.018937106170048804
2021-08-30,-0.005546950265210585,0.00020008164767082275
2021-08-31,-0.002920332717476927,0.003166273859123837
2021-09-01,0.014104699646524927,0.011877639250066501
2021-09-02,-0.00798231459841151,-0.000634467728210953
2021-09-03,0.011427786690839933,0.007103148141266586
2021-09-07,0.018634378632071583,0.010968940947509904
2021-09-08,0.01889146836183676,0.003956272577281129
2021-09-09,0.014916178952433311,0.012416643277079467
2021-09-10,0.009427274204869952,0.008275166428398432
2021-09-13,0.002261927452662512,0.001053839370111343
2021-09-14,0.008186547850945695,0.018653688157436316
2021-09-15,0.0019562039381840206,0.0019977641763989145
2021-09-16,-0.00034920107161795456,0.0105916054752621
2021-09-17,-0.002537064689227168,-0.0009057699294639718
2021-09-20,0.010299568080161435,0.01617093561279466
2021-09-21,0.007163442588514057,0.021404358670863707
2021-09-22,0.010398473251872592,0.021388414206117843
2021-09-23,0.012003331305533951,0.017833770751128835
2021-09-24,0.012884513945081536,0.02543989963551431
2021-09-27,0.010522140497385524,0.015098885430912288
2021-09-28,-0.01028261859491682,3.742324220417162e-07
2021-09-29,-0.011902238227515198,-0.008047443190135083
2021-09-30,0.017822230930589197,-8.720929074837024e-05
2021-10-01,-0.00850870619750864,-0.011870917117657325
2021-10-04,0.004390544341012147,-0.004070149302814966
2021-10-05,-0.003642210293317751,-0.004711496232017099
2021-10-06,-0.006942428129912077,-0.00010841052254245481
2021-10-07,-0.0028151328021178753,-0.007728781474107103
2021-10-08,0.008280407863942364,0.0052925010073604116
2021-10-11,0.004286447504966846,0.003943483314425094
2021-10-12,-0.002422896201290743,0.008572257815180284
2021-10-13,-0.004854184779141351,0.002527550667479287
2021-10-14,-0.010682947701949844,-0.009381101584506873
2021-10-15,0.00955356701978657,-0.002809712008399118
2021-10-18,-0.007394153901500725,0.0023602060707175352
2021-10-19,-0.0037601680588242063,0.003686822526497928
2021-10-20,-0.005463643240530183,0.0006345818439821736
2021-10-21,-0.0031302645607916473,0.011216537137677729
2021-10-22,0.006908439388157546,0.009643404010334729
2021-10-25,0.000400668859455751,0.011965717156611152
2021-10-26,-0.005363942184461216,0.0032290222598269098
2021-10-27,-0.0020279263907807352,0.007508100284529747
2021-10-28,0.02582211574583503,8.745200339481396e-05
2021-10-29,0.011471858420361442,-0.005988450927179026
2021-11-01,0.0208054750688728,0.0005681743673144357
2021-11-02,0.01108113456716454,-0.00416797163250774
2021-11-03,0.012307380716942103,-0.005991589144064955
2021-11-04,0.012319618892386072,-0.006933235898923466
2021-11-05,0.02188921690191357,0.0010717337050868499
2021-11-08,0.015915929167454997,-0.002474718333067356
2021-11-09,0.012982033849069714,-0.003936182851373578
2021-11-10,0.021306344701032414,0.008143327662787882
2021-11-11,0.01522816822430678,0.009530661872532388
2021-11-12,0.013524128259069446,0.006860058555806416
2021-11-15,0.03686679886168127,0.019495460436371397
2021-11-16,0.034017649002772446,0.012938314045824843
2021-11-17,0.027055669033980434,0.001294059168840705
2021-11-18,0.03203121934912549,0.008892392886647019
2021-11-19,0.03599996399446755,0.00801943636685801
2021-11-22,0.036939514942055454,-0.003278946287652091
2021-11-23,0.038425118837808164,0.0018196357663179635
2021-11-24,0.03890337110713547,-0.0019574743194204023
2021-11-26,0.03922464586607197,0.004542829720291724
2021-11-29,0.02469565625208882,-0.001026384292771377
2021-11-30,0.021488951390060254,-0.0009237110253252005
2021-12-01,0.02005367973188339,0.016137546851867534
2021-12-02,0.02406770687771736,0.030507017638564633
2021-12-03,0.020750451442086523,0.021530819779653328
2021-12-06,0.020733155573491834,0.013371402110023085
2021-12-07,0.03298489995692344,0.021979054164344893
2021-12-08,0.04488060385324477,0.01920201770437324
2021-12-09,0.04071424268981008,0.017135592669570043
2021-12-10,0.036488318851821425,0.012337690684948346
2021-12-13,0.03016065650236212,0.012575624759891988
2021-12-14,0.043527064617025664,0.030114180998731786
2021-12-15,0.03281797002510111,0.012115350652913932
2021-12-16,0.036483304927351995,0.019747234135568004
2021-12-17,0.03651785875092686,0.03609870554091408
2021-12-20,0.031172902680706972,0.03555095691733647
2021-12-21,0.017913113140800303,0.02175194131030887
2021-12-22,0.005939245443737691,-0.013998980247677404
2021-12-23,0.00466554839825876,-0.01282845821121617
2021-12-27,-0.0004044244262036596,-0.009247878928577216
2021-12-28,0.02418317077889963,-0.00020622937057519363
2021-12-29,0.0025104769374847055,-0.014117670091571067
2021-12-30,,
